        log10N,Jtime,atime,iters
1,0.000396,4.3e-05,155
1.0625,0.00047,3.1e-05,200
1.125,0.000831,3.6e-05,271
1.1875,0.00139,5e-05,367
1.25,0.002292,5.3e-05,482
1.3125,0.004035,8.3e-05,662
1.375,0.007244,0.000121,903
1.4375,0.013243,0.000124,1240
1.5,0.021721,0.000145,1662
1.5625,0.041724,0.000259,2223
1.625,0.075125,0.000299,3048
1.6875,0.120555,0.000395,4025
1.75,0.209622,0.000485,5466
1.8125,0.354944,0.000687,7173
1.875,0.629948,0.001095,9622
1.9375,1.140238,0.001425,12979
2,2.112747,0.002125,17703
